Gate,VOL,Trans,Cap,Tphl,Tplh
010,0.61,250,92.16,0.3298,0.2212
010,0.8,120,2.88,0.03071,0.01183
010,0.8,30,23.04,0.05258,0.0381
010,0.77,30,7.00,0.02581,0.01734
010,0.76,300,7.00,0.07381,0.03165
010,0.72,20,150.00,0.2966,0.2194
010,0.61,20,92.16,0.2389,0.1607
010,0.76,70,150.00,0.299,0.2195
010,0.6,30,11.52,0.04432,0.02991
010,0.79,50,2.88,0.02079,0.01127
010,0.75,150,7.00,0.05342,0.02882
010,0.7,50,5.76,0.0322,0.02014
010,0.76,120,30.00,0.1005,0.06752
010,0.76,200,11.52,0.07579,0.04212
010,0.77,20,150.00,0.2762,0.2076
010,0.67,10,46.08,0.1051,0.07275
010,0.72,250,92.16,0.2724,0.1883
010,0.71,20,46.08,0.0999,0.07148
010,0.72,300,23.04,0.1383,0.08291
010,0.71,70,11.52,0.05086,0.03329
010,0.74,300,5.76,0.07021,0.03014
010,0.68,300,184.32,0.498,0.3464
010,0.65,30,23.04,0.06522,0.04502
010,0.68,70,7.00,0.04224,0.02645
010,0.73,350,2.88,0.05973,0.01786
010,0.63,90,7.00,0.05238,0.03216
010,0.69,70,46.08,0.1221,0.08591
010,0.75,10,150.00,0.2813,0.208
010,0.72,70,184.32,0.3795,0.276
010,0.6,250,23.04,0.158,0.09855
010,0.71,50,2.88,0.02362,0.01381
010,0.71,150,5.76,0.05285,0.02897
010,0.79,20,30.00,0.06147,0.04557
010,0.6,50,184.32,0.4809,0.3234
010,0.78,200,5.76,0.05336,0.02369
010,0.66,20,11.52,0.0353,0.02452
010,0.61,90,184.32,0.4869,0.3305
010,0.63,10,92.16,0.2242,0.1501
010,0.7,20,46.08,0.1015,0.07273
010,0.61,120,150.00,0.4237,0.2814
010,0.8,250,7.00,0.06356,0.0256
010,0.63,350,184.32,0.5689,0.3853
010,0.62,50,5.76,0.03636,0.02328
010,0.79,70,150.00,0.2893,0.2152
010,0.6,120,23.04,0.1096,0.07257
010,0.78,200,11.52,0.0736,0.03979
010,0.73,30,184.32,0.3564,0.2643
010,0.61,250,2.88,0.06601,0.03523
010,0.75,70,150.00,0.3027,0.2212
010,0.71,120,150.00,0.342,0.243
010,0.61,20,184.32,0.4588,0.3091
010,0.76,90,184.32,0.3668,0.2713
010,0.63,250,30.00,0.1691,0.1075
010,0.8,90,5.76,0.03569,0.01932
010,0.76,30,46.08,0.09657,0.07045
010,0.72,70,92.16,0.2067,0.1468
010,0.7,200,46.08,0.1703,0.1143
010,0.72,120,150.00,0.3364,0.2398
010,0.73,50,30.00,0.07765,0.05494
010,0.78,200,2.88,0.04132,0.01279
010,0.78,350,92.16,0.2893,0.1943
010,0.79,70,46.08,0.1073,0.07723
010,0.7,10,46.08,0.09865,0.07017
010,0.61,70,184.32,0.4739,0.3244
010,0.67,200,30.00,0.143,0.09194
010,0.71,250,5.76,0.06746,0.03362
010,0.63,50,30.00,0.09274,0.06287
010,0.71,350,30.00,0.1742,0.1055
010,0.6,350,11.52,0.1394,0.0819
010,0.63,120,11.52,0.07491,0.047
010,0.76,10,23.04,0.04806,0.03508
010,0.67,90,150.00,0.3524,0.247
010,0.61,70,92.16,0.2595,0.1722
010,0.62,20,23.04,0.06633,0.04466
010,0.7,20,150.00,0.3064,0.2242
010,0.73,200,7.00,0.06367,0.03327
010,0.67,20,11.52,0.03467,0.02423
010,0.66,120,30.00,0.1141,0.07749
010,0.71,120,7.00,0.05186,0.03009
010,0.76,120,5.76,0.0431,0.02321
010,0.77,70,150.00,0.2955,0.2178
010,0.68,30,11.52,0.03777,0.02642
010,0.66,250,7.00,0.08231,0.04576
010,0.74,150,11.52,0.06905,0.04067
010,0.64,300,2.88,0.06602,0.03264
010,0.8,200,2.88,0.04043,0.01086
010,0.63,70,11.52,0.05749,0.03781
010,0.68,350,2.88,0.0654,0.02658
010,0.76,50,5.76,0.02919,0.01822
010,0.67,70,5.76,0.03946,0.02424
010,0.71,300,7.00,0.0806,0.04015
010,0.78,90,7.00,0.04026,0.02315
010,0.77,250,23.04,0.1182,0.06975
010,0.69,120,23.04,0.09529,0.06297
010,0.64,20,23.04,0.06309,0.04316
010,0.74,120,5.76,0.04482,0.02467
